Array Length,Merge Sort Avg,Quicksort Avg,Counting Sort Avg,Radix Sort Avg,QR Sort Avg
10000,1.21333,1.41689,1.09269,1.79923,1.20752
20000,2.29367,1.54678,0.34717,0.91996,0.90465
30000,2.65888,1.67651,0.19472,0.7334,0.45631
40000,3.92689,2.46146,0.49309,1.12472,0.7131
50000,4.3624,3.0253,0.30616,1.34225,0.81637
60000,5.69909,4.33925,0.53933,1.67351,1.20302
70000,6.64737,4.51526,0.65396,1.95225,1.16611
80000,6.61882,4.7528,0.68528,1.94278,1.17684
90000,8.63697,5.1778,0.5232,1.94409,1.20363
100000,8.58893,6.05507,1.20397,1.13748,0.73094
110000,9.31606,6.35845,0.59814,1.46067,0.8425
120000,10.24595,6.99625,0.6565,1.38157,0.91534
130000,11.11907,7.62192,0.72927,1.48473,1.01398
140000,12.02241,8.16208,0.77698,1.59652,1.0193
150000,12.90453,8.89749,0.84254,1.91618,1.12786
160000,13.97584,9.50201,0.87605,1.909,1.15181
170000,14.77153,10.06815,0.95403,2.00075,1.27767
180000,15.52053,10.61397,0.98338,2.11701,1.39335
190000,16.3962,11.13504,1.05108,2.18809,1.49544
200000,17.40558,11.91533,1.0877,2.31634,1.61148
210000,18.58827,12.45489,1.16541,2.38904,1.63121
220000,19.5432,13.16999,1.21915,2.53103,1.67684
230000,20.16493,13.66464,1.28482,2.69708,1.70708
240000,21.30793,14.37349,1.39201,2.80525,1.82643
250000,23.10898,15.21283,1.40734,3.49768,2.07041
260000,23.05161,15.70332,1.47846,3.19312,2.12386
270000,24.21209,16.25841,1.63235,3.46273,2.44556
280000,25.16348,16.83983,1.56991,3.34752,2.08844
290000,26.12424,17.47347,2.09478,3.43745,2.23964
300000,26.91047,18.08329,1.7416,3.50444,2.29028
310000,27.94229,18.45049,1.78613,3.54899,2.32125
320000,28.90613,19.3091,1.81761,3.72735,2.55012
330000,29.80079,19.79964,1.84458,3.90348,2.5653
340000,30.92313,20.61575,1.93787,3.94502,2.6478
350000,31.96675,21.01237,1.94258,4.04573,2.80188
360000,32.78155,21.69668,1.99315,4.17418,2.81266
370000,33.79805,22.33932,2.09358,4.40874,2.97366
380000,34.92006,22.9978,2.18747,4.49239,2.99797
390000,35.67532,23.51152,2.23415,4.53427,3.02575
400000,37.12946,24.06079,2.25666,4.78379,3.10473
410000,38.00213,24.88696,2.28094,4.92023,3.26609
420000,38.71062,25.25465,2.40733,4.90461,3.2889
430000,40.77851,26.72057,2.52589,5.15307,3.60672
440000,40.91185,26.47431,2.44809,5.35611,3.46235
450000,41.72701,27.29306,2.54235,5.27099,3.55323
460000,42.476,27.86257,2.58441,5.47022,3.67033
470000,43.66127,28.30728,2.65783,5.60343,3.81031
480000,44.58436,28.96307,2.80155,5.62042,3.79486
490000,45.23406,29.56127,2.7668,5.83218,3.78963
500000,46.40671,30.20775,2.88969,5.91681,4.00973
510000,47.70839,30.89925,2.92004,6.13952,3.97072
520000,48.90416,31.61752,2.93269,6.21683,4.24613
530000,49.43628,32.06416,2.978,6.39701,4.04576
540000,50.40261,32.50315,3.14398,6.75161,4.22689
550000,51.36148,33.54482,3.24071,6.66272,4.24393
560000,52.36033,33.92987,3.30696,6.78525,4.41771
570000,53.33898,34.71474,3.3843,7.19612,4.35561
580000,54.31964,35.15689,3.41903,7.1232,4.48854
590000,54.76714,35.79013,3.46934,7.21322,4.69596
600000,55.97021,36.49026,3.58695,7.35808,4.76461
610000,57.46702,36.9141,3.46462,7.66542,4.66673
620000,57.89902,37.81627,3.74643,7.49511,4.86056
630000,58.89798,38.22861,3.65847,7.79669,5.10631
640000,59.9494,39.02094,3.79547,7.69098,5.04051
650000,60.63779,39.76243,3.8168,7.99161,5.21442
660000,61.70714,40.11937,4.01115,8.10397,5.07186
670000,62.94362,40.8756,3.91091,8.12052,5.22849
680000,63.68449,41.06554,3.99587,8.35883,5.28799
690000,64.64048,42.31838,4.11479,8.28065,5.55144
700000,65.6231,42.5059,4.07844,8.53297,5.4772
710000,66.54092,43.23434,4.17157,8.60789,5.6232
720000,67.50948,43.83991,4.44591,9.01729,5.81254
730000,68.63421,44.30711,4.38911,8.90834,5.7019
740000,72.81334,45.16165,4.46262,9.04941,5.90575
750000,70.23912,45.08226,4.38957,9.24537,5.94332
760000,71.22148,46.3377,4.67514,9.20864,6.14875
770000,72.49928,46.72531,4.64969,9.44726,6.35465
780000,73.62406,47.81193,5.18586,9.66642,6.61376
790000,74.68181,48.37611,4.81574,9.84675,6.49909
800000,75.39986,48.69065,4.80849,9.97676,6.49315
810000,76.54003,49.06905,4.89179,10.03478,6.64835
820000,77.46021,49.90707,4.99027,10.18952,6.70265
830000,78.6343,50.57309,5.17727,10.3438,6.64732
840000,79.7747,51.0352,5.12123,10.4894,6.76692
850000,80.67876,51.60549,5.12172,10.54033,6.77038
860000,81.94525,52.22347,5.23183,10.73006,6.85044
870000,83.0602,52.74229,5.30511,10.8037,6.95943
880000,83.79654,53.45608,5.58913,10.91373,7.24483
890000,84.8138,54.12704,5.40866,11.10284,7.14911
900000,88.53143,54.63894,5.42875,11.28635,7.13546
910000,85.83666,54.99096,5.66444,11.28964,7.29526
920000,86.83495,55.84599,5.70997,11.43831,7.4508
930000,87.89626,56.55886,5.63124,11.54979,7.84279
940000,89.19082,57.20399,5.83316,11.72877,7.52057
950000,90.12871,57.71036,5.78497,11.82749,7.55256
960000,91.4133,58.34986,6.18014,11.89107,7.8767
970000,92.50603,58.85946,6.20617,12.14161,8.00788
980000,93.63053,59.91152,6.48246,12.16666,8.20954
990000,94.62486,60.23595,6.45252,12.51885,8.08074
1000000,95.43235,60.72598,6.2916,12.4765,8.3062
