Array Length,Merge Sort Avg,Quicksort Avg,Counting Sort Avg,Radix Sort Avg,QR Sort Avg
100000,18.25565,19.40751,1.36544,2.35905,2.01894
200000,28.12947,40.80226,1.74751,3.10135,2.16264
300000,73.68101,94.61182,6.2537,6.22005,5.21534
400000,107.63522,163.41844,5.59369,9.18154,7.48385
500000,139.96326,210.4328,6.28163,10.80091,19.88233
600000,158.14115,292.76307,7.3047,16.41186,10.6719
700000,187.19505,377.45127,9.88626,14.62614,13.96035
800000,219.92551,464.65263,11.14032,17.22141,15.66025
900000,240.15848,577.63951,10.5741,23.41664,15.39637
1000000,285.84013,725.85649,11.68157,22.69013,16.22079
